S_curve_1,S_curve_2,S_curve_3,S_curve_4,S_curve_5,S_curve_6,S_curve_7,S_curve_8,S_curve_9,S_curve_10,S_curve_11,S_curve_12,S_curve_13,S_curve_14,S_curve_15,S_curve_16,S_curve_17,S_curve_18,S_curve_19,S_curve_20,S_curve_21,S_curve_22,S_curve_23,S_curve_24,S_curve_25,S_curve_26,S_curve_27,S_curve_28,S_curve_29,S_curve_30
6.532686915904323e-05,0.0003000676525530146,3.2247520544089685e-09,1.7201161577407683e-05,2.6387373759434792e-09,1.312532072644535e-10,9.123082826069196e-05,1.6064764174641593e-08,0.002992718540328371,0.004650951114610121,0.00023937755580642403,0.0002419369226608307,1.273376817245096e-05,1.5692066466027569e-07,4.8772740398334315e-06,0.011996867004695775,0.0018928813199743804,0.0014281996248050445,3.4011669606558945e-07,1.2944602106822507e-07,3.3867390856296203e-09,5.9573676263538e-11,3.3584383656746325e-08,2.4351923111136858e-05,0.0013383471394768068,5.1766771896901654e-08,2.8546733820845737e-12,0.000887481480023708,0.013578897996184476,1.0276101292153728e-05
6.822199960225101e-05,0.0003158609389390931,3.430241985484072e-09,1.793291841110093e-05,2.8064543622769035e-09,1.4078262670512208e-10,9.385752512729751e-05,1.7371825691282864e-08,0.00312899792565727,0.004790439607919095,0.000244975806877152,0.0002479898490645114,1.3333482632778309e-05,1.695838442139186e-07,5.213469697192824e-06,0.012249383186876284,0.0019474525452278131,0.0014619181176615933,3.5402567313666054e-07,1.36561726713897e-07,3.58945852124761e-09,6.44270364933621e-11,3.559609705502891e-08,2.5974529729737095e-05,0.0013938108660525167,5.499075070014321e-08,3.0878310791987078e-12,0.0009130363106194931,0.013938284199085538,1.0757795809028326e-05
7.124542615376077e-05,0.0003324851877324087,3.6488262912294513e-09,1.8695804424650392e-05,2.9848313664192973e-09,1.510039136952018e-10,9.655984193818757e-05,1.8785232359189318e-08,0.003271462700758758,0.004934090817175098,0.0002507049497345672,0.00025419417279211613,1.3961441082446073e-05,1.8326891650148865e-07,5.572839547598753e-06,0.012507147174789384,0.0020035938850672124,0.001496431480478543,3.6850345372167454e-07,1.4406858582356349e-07,3.804312097814119e-09,6.967579124969815e-11,3.772831260947747e-08,2.770525016263862e-05,0.0014515697771402738,5.8415515419440484e-08,3.3400321148833827e-12,0.000939326295029902,0.01430704414717568,1.1262069608437241e-05
7.440283335659883e-05,0.00034998409008285493,3.8813393806393456e-09,1.949114381318178e-05,3.174545934405079e-09,1.6196730012014688e-10,9.933995528842591e-05,2.031363663320829e-08,0.003420391709371931,0.005082027707027912,0.0002565680431844208,0.0002605536786810741,1.4618973654686747e-05,1.9805834614863914e-07,5.956980985364641e-06,0.012770265168263304,0.002061350329881641,0.00153175839430032,3.835732988550357e-07,1.5198810026853882e-07,4.032026126424883e-09,7.535215261328399e-11,3.998824843004969e-08,2.955128758984209e-05,0.001511718568820955,6.205357078317128e-08,3.6128318688168366e-12,0.0009663725415305036,0.014685414940438178,1.1789981062915402e-05
7.770015754944625e-05,0.00036840363114980755,4.128668833506628e-09,2.0320317096977906e-05,3.3763186767954184e-09,1.7372666486737838e-10,0.0001022001043978483,2.1966394949214015e-08,0.0035760761893024397,0.005234376797653773,0.0002625682174400792,0.0002670722460885327,1.5307473120870556e-05,2.1404125250011395e-07,6.3676015103732734e-06,0.01303884539473824,0.0021207681484238113,0.001567917976491232,3.9925942082210827e-07,1.6034295388637478e-07,4.273370392847736e-09,8.149095692512329e-11,4.2383554993265795e-08,3.152032505288656e-05,0.0015743558202999132,6.591820030039696e-08,3.90791275753766e-12,0.0009941967621126173,0.015073639280211397,1.2342638152400621e-05
8.114359801307662e-05,0.00038779221020082607,4.391758788609842e-09,2.118476351690915e-05,3.590916005840603e-09,1.8633979861075958e-10,0.00010514259291143969,2.375362500140187e-08,0.0037388203068642956,0.005391268262880853,0.0002687086757860495,0.0002737538512468177,1.602839783988367e-05,2.3131394664047832e-07,6.8065263170847995e-06,0.013312998142777204,0.00218189492350161,0.0016049297907961672,4.155870220601396e-07,1.6915707745392625e-07,4.529160759778116e-09,8.812987858024694e-11,4.492234104106283e-08,3.3620557414450555e-05,0.0016395841511162854,7.002351476243866e-08,4.227094610280487e-12,0.0010228212896121924,0.015471965580150423,1.292120078917734e-05
8.473962860960652e-05,0.00040820076696022233,4.671613547804646e-09,2.2085983531705493e-05,3.819153046615e-09,1.9986868781930185e-10,0.0001081697907513868,2.5686267679775196e-08,0.003908941712824935,0.005552836030734489,0.00027499269628009846,0.00028060256967733473,1.678327484634709e-05,2.499805117510447e-07,7.2757064065621675e-06,0.013592835795901304,0.0022447795886289712,0.001642813857627027,4.325823356499961e-07,1.7845571723199404e-07,4.800261924857361e-09,9.530966123886957e-11,4.761320103099675e-08,3.586072544543964e-05,0.0017075103845453595,7.438450376507459e-08,4.572345892266153e-12,0.001052269095316603,0.015880648078191832,1.352688325176171e-05
8.849500993629099e-05,0.0004296829145286638,4.96930140977777e-09,2.3025541421396703e-05,4.061896733182582e-09,2.1437981938585077e-10,0.00011128413602228033,2.7776154046987908e-08,0.0040867721205717,0.005719217886443683,0.00028142363349484414,0.0002876225786643567,1.7573703084208233e-05,2.7015343030011115e-07,7.777227257552099e-06,0.013878472866741697,0.0023094724656597307,0.0016815906645796675,4.50272667463783e-07,1.8826550727788045e-07,5.087590343777156e-09,1.0307436787390357e-10,5.046524423071494e-08,3.825015218103608e-05,0.0017782457174233116,7.901709043947646e-08,4.945795844663012e-12,0.0010825638070622152,0.016299946949454552,1.416095673283087e-05
9.241680201654912e-05,0.00045229507921101705,5.285958748097957e-09,2.40050680014301e-05,4.320069101553359e-09,2.299445073728205e-10,0.00011448813697098954,3.0036077764551605e-08,0.004272657907226709,0.00589055557794958,0.0002880049202997311,0.0002948181597901603,1.8401356792544893e-05,2.919542618457818e-07,8.313318095140641e-06,0.014170026031499099,0.0023760253034284372,0.0017212811771861985,4.686864400360492e-07,1.9861454573297448e-07,5.3921173283514994e-09,1.1147165118938925e-10,5.348812555519377e-08,4.079878169657e-05,0.0018519058966307827,8.393818959172237e-08,5.3497476160889975e-12,0.0011137297278358987,0.01673012842000342,1.4824752006537156e-05
9.651237755190123e-05,0.0004760966476064912,5.6227943491314735e-09,2.5026263452169894e-05,4.59465079193851e-09,2.4663924348076626e-10,0.00011778437400277224,3.2479873411781454e-08,0.004466960738445068,0.006066994923956285,0.00029474006968432015,0.0003021937015330286,1.9267989050742707e-05,3.1551437553567077e-07,8.886361798156378e-06,0.014467614164701447,0.00244449131742263,0.001761906849907572,4.878532382290753e-07,2.095324753038765e-07,5.714872330029735e-09,1.205530460694324e-10,5.669207825113087e-08,4.3517220464084275e-05,0.0019286114024792192,8.916576946316708e-08,5.786692466639636e-12,0.0011457918548940047,0.017171464881396026,1.551966222079953e-05
